,team_id_salary,league_id_salary,player_id,salary,team_id,league_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp
0,SEA,AL,aardsda01,4500000,SEA,AL,331.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
1,BAL,AL,aasedo01,675000,CAL,AL,448.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2,CIN,NL,abadan01,327000,BOS,AL,15.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0
3,OAK,AL,abadfe01,1087500,HOU,NL,258.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0
4,FLO,NL,abbotje01,300000,CHA,AL,233.0,596.0,82.0,157.0,33.0,2.0,18.0,83.0,6.0,5.0,38.0,91.0,2.0,3.0,5.0,7.0,12.0
5,NYA,AL,abbotji01,2775000,CAL,AL,263.0,21.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,1.0
6,OAK,AL,abbotku01,1000000,FLO,NL,702.0,2044.0,273.0,523.0,109.0,23.0,62.0,242.0,22.0,11.0,133.0,571.0,11.0,17.0,21.0,12.0,37.0
7,PHI,NL,abbotky01,150000,CAL,AL,57.0,31.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,19.0,0.0,0.0,6.0,0.0,0.0
8,SEA,AL,abbotpa01,3425000,SEA,AL,162.0,20.0,2.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0
9,FLO,NL,abercre01,327000,FLO,NL,180.0,386.0,65.0,86.0,20.0,2.0,9.0,34.0,18.0,8.0,21.0,123.0,2.0,7.0,5.0,2.0,3.0
10,TBA,AL,abernbr01,300000,TBA,AL,232.0,868.0,97.0,212.0,36.0,5.0,8.0,79.0,21.0,7.0,60.0,93.0,1.0,7.0,16.0,4.0,15.0
11,CHA,AL,abnersh01,297500,SDN,NL,392.0,840.0,89.0,191.0,39.0,4.0,11.0,71.0,6.0,8.0,43.0,153.0,10.0,7.0,5.0,7.0,14.0
12,NYA,AL,abreubo01,16000000,PHI,NL,2425.0,8480.0,1453.0,2470.0,574.0,59.0,288.0,1363.0,400.0,128.0,1476.0,1840.0,115.0,33.0,7.0,85.0,165.0
13,CHA,AL,abreujo02,8666000,CHA,AL,299.0,1169.0,168.0,354.0,69.0,5.0,66.0,208.0,3.0,1.0,90.0,271.0,26.0,26.0,0.0,5.0,30.0
14,SFN,NL,abreuto01,745000,LAN,NL,224.0,579.0,61.0,147.0,39.0,6.0,6.0,60.0,2.0,4.0,22.0,116.0,2.0,5.0,1.0,8.0,20.0
15,TOR,AL,accarje01,1080000,TOR,AL,262.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,BOS,AL,aceveal01,2650000,NYA,AL,204.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,CIN,NL,acevejo01,340000,CIN,NL,104.0,101.0,2.0,8.0,2.0,0.0,0.0,4.0,0.0,0.0,5.0,61.0,0.0,1.0,12.0,1.0,2.0
18,NYA,AL,aceveju01,900000,COL,NL,367.0,65.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,0.0,0.0,6.0,0.0,2.0
19,TOR,AL,ackerji01,700000,TOR,AL,467.0,54.0,2.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,32.0,0.0,0.0,0.0,0.0,1.0
20,SEA,AL,ackledu01,2700000,SEA,AL,607.0,2064.0,255.0,503.0,94.0,18.0,46.0,212.0,31.0,12.0,186.0,410.0,10.0,5.0,11.0,11.0,25.0
21,NYN,NL,acostma01,875000,ATL,NL,233.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
22,OAK,AL,acrema01,165000,OAK,AL,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,CLE,AL,adamsau01,507700,CLE,AL,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,NYA,AL,adamsda02,540000,NYA,AL,43.0,140.0,10.0,27.0,5.0,1.0,2.0,13.0,0.0,0.0,9.0,43.0,0.0,2.0,1.0,0.0,4.0
25,ARI,NL,adamsjo02,210000,ARI,NL,44.0,10.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
26,SLN,NL,adamsma01,534000,SLN,NL,337.0,1084.0,123.0,299.0,63.0,5.0,39.0,156.0,4.0,3.0,64.0,259.0,6.0,3.0,0.0,8.0,22.0
27,PHI,NL,adamsmi03,7000000,SDN,NL,410.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,TOR,AL,adamsru01,343000,TOR,AL,286.0,884.0,125.0,218.0,46.0,7.0,17.0,113.0,15.0,5.0,85.0,118.0,2.0,5.0,8.0,11.0,14.0
29,PHI,NL,adamste01,2900000,CHN,NL,574.0,78.0,2.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,41.0,0.0,0.0,12.0,1.0,1.0
30,OAK,AL,adamswi02,177000,OAK,AL,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,KCA,AL,adcocna01,414000,KCA,AL,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,ML4,AL,adducji01,70000,ML4,AL,70.0,144.0,11.0,34.0,8.0,1.0,1.0,15.0,0.0,1.0,2.0,27.0,0.0,0.0,1.0,3.0,1.0
33,TEX,AL,adducji02,501000,TEX,AL,61.0,132.0,15.0,25.0,4.0,0.0,1.0,8.0,5.0,1.0,13.0,36.0,0.0,0.0,1.0,2.0,2.0
34,LAA,AL,adenhni01,400000,LAA,AL,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,CHA,AL,adkinjo01,301000,CHA,AL,119.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36,SFN,NL,adriaeh01,500500,SFN,NL,114.0,228.0,24.0,48.0,14.0,1.0,1.0,19.0,4.0,3.0,21.0,47.0,1.0,5.0,5.0,1.0,5.0
37,CIN,NL,afenitr01,130000,OAK,AL,45.0,79.0,4.0,15.0,2.0,2.0,0.0,7.0,0.0,0.0,5.0,32.0,0.0,0.0,1.0,1.0,1.0
38,SFN,NL,affelje01,6000000,SFN,NL,774.0,17.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
39,COL,NL,agbaybe01,600000,NYN,NL,383.0,1091.0,145.0,299.0,57.0,6.0,39.0,156.0,16.0,16.0,139.0,246.0,7.0,15.0,1.0,8.0,31.0
40,SLN,NL,agostju01,1666667,CHA,AL,543.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0
41,PHI,NL,aguaylu01,375000,PHI,NL,568.0,1104.0,142.0,260.0,43.0,10.0,37.0,109.0,7.0,5.0,94.0,220.0,12.0,20.0,14.0,12.0,27.0
42,FLO,NL,aguilch01,327000,FLO,NL,149.0,230.0,26.0,53.0,13.0,2.0,3.0,16.0,2.0,2.0,16.0,61.0,1.0,0.0,2.0,0.0,3.0
43,MIN,AL,aguilri01,4350000,MIN,AL,737.0,139.0,12.0,28.0,3.0,0.0,3.0,11.0,0.0,0.0,6.0,37.0,0.0,0.0,16.0,0.0,1.0
44,ARI,NL,ahmedni01,508500,ARI,NL,159.0,491.0,58.0,109.0,19.0,6.0,10.0,38.0,4.0,6.0,32.0,91.0,1.0,1.0,7.0,3.0,6.0
45,BAL,AL,ainswku01,322500,SFN,NL,30.0,28.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0
46,PHI,NL,akerfda01,165000,PHI,AL,125.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
47,NYA,AL,albaljo01,403075,NYA,AL,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TEX,AL,alberjo01,109000,TEX,AL,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,CLE,AL,alberma01,1750000,BAL,AL,394.0,34.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,3.0,0.0,0.0
50,DET,AL,albural01,1725000,DET,AL,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,CHN,NL,alcanar01,510000,CHN,NL,81.0,304.0,36.0,59.0,11.0,2.0,10.0,30.0,9.0,5.0,22.0,104.0,0.0,2.0,2.0,2.0,3.0
52,SDN,NL,aldremi01,510000,OAK,AL,930.0,2147.0,277.0,565.0,104.0,9.0,41.0,271.0,19.0,18.0,314.0,381.0,29.0,5.0,14.0,18.0,43.0
53,PHI,NL,aldresc01,600000,DET,AL,229.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54,ATL,NL,aldrico01,200000,ATL,AL,13.0,18.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
55,ML4,AL,aldrija01,62500,ML4,AL,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56,DET,AL,alexado01,1000000,BAL,AL,562.0,265.0,19.0,44.0,8.0,0.0,0.0,17.0,0.0,0.0,9.0,77.0,0.0,1.0,23.0,2.0,7.0
57,BOS,AL,alexama02,612500,BAL,AL,594.0,1271.0,166.0,293.0,50.0,12.0,15.0,115.0,37.0,10.0,86.0,276.0,7.0,7.0,19.0,4.0,17.0
58,CHN,NL,alfonan01,4000000,FLO,NL,592.0,14.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0
59,LAA,AL,alfoned01,8000000,NYN,NL,1506.0,5385.0,777.0,1532.0,282.0,18.0,146.0,744.0,53.0,17.0,596.0,617.0,22.0,41.0,31.0,55.0,110.0
60,SFN,NL,alfonel01,382000,SFN,NL,193.0,591.0,44.0,142.0,24.0,3.0,17.0,67.0,1.0,2.0,17.0,158.0,9.0,9.0,4.0,3.0,17.0
61,TEX,AL,alicelu01,825000,SLN,AL,1341.0,3971.0,551.0,1031.0,189.0,53.0,47.0,422.0,81.0,50.0,500.0,624.0,25.0,48.0,49.0,45.0,74.0
62,CLE,AL,allanan01,235000,CLE,AL,512.0,1486.0,145.0,357.0,48.0,4.0,16.0,140.0,23.0,18.0,87.0,223.0,4.0,9.0,35.0,16.0,27.0
63,OAK,AL,allenbr01,482500,ARI,AL,116.0,344.0,44.0,70.0,19.0,2.0,12.0,41.0,3.0,0.0,42.0,137.0,6.0,1.0,0.0,2.0,4.0
64,TEX,AL,allench01,380000,MIN,AL,267.0,851.0,102.0,229.0,44.0,8.0,14.0,84.0,15.0,13.0,63.0,173.0,2.0,4.0,5.0,5.0,22.0
65,CLE,AL,allenco01,547100,CLE,AL,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,NYN,NL,allenje01,284000,PIT,NL,342.0,1031.0,155.0,268.0,49.0,8.0,15.0,114.0,42.0,20.0,104.0,228.0,1.0,24.0,21.0,10.0,9.0
67,CHA,AL,allenne01,1250000,NYN,NL,434.0,115.0,3.0,15.0,2.0,2.0,0.0,7.0,0.0,0.0,3.0,51.0,0.0,0.0,11.0,0.0,0.0
68,CLE,AL,allrebe01,102500,CLE,AL,65.0,165.0,19.0,38.0,7.0,0.0,4.0,15.0,2.0,2.0,29.0,48.0,2.0,1.0,3.0,2.0,1.0
69,FLO,NL,almanar01,775000,FLO,NL,254.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0
70,TEX,AL,almanca01,1100000,SDN,AL,210.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
71,PIT,NL,almonbi01,260000,SDN,NL,1236.0,3330.0,390.0,846.0,138.0,25.0,36.0,296.0,128.0,60.0,250.0,636.0,24.0,6.0,44.0,29.0,53.0
72,MIL,NL,almoner01,414000,NYA,AL,55.0,133.0,18.0,31.0,7.0,0.0,2.0,14.0,3.0,0.0,8.0,29.0,0.0,1.0,2.0,0.0,5.0
73,NYA,AL,almonzo01,511300,NYA,AL,47.0,142.0,11.0,30.0,4.0,0.0,2.0,12.0,4.0,1.0,6.0,33.0,0.0,0.0,0.0,1.0,3.0
74,NYN,NL,alomaro01,8000000,TOR,AL,2379.0,9073.0,1508.0,2724.0,504.0,80.0,210.0,1134.0,474.0,114.0,1032.0,1140.0,62.0,50.0,148.0,97.0,206.0
75,CHA,AL,alomasa02,2900000,CLE,AL,1377.0,4530.0,520.0,1236.0,249.0,10.0,112.0,588.0,25.0,24.0,212.0,499.0,15.0,41.0,48.0,34.0,132.0
76,SDN,NL,alonsyo01,1650000,SDN,NL,508.0,1621.0,169.0,443.0,93.0,2.0,32.0,183.0,17.0,6.0,163.0,263.0,18.0,9.0,1.0,17.0,47.0
77,CHN,NL,aloumo01,9500000,MON,NL,1942.0,7037.0,1109.0,2134.0,421.0,39.0,332.0,1287.0,106.0,37.0,737.0,894.0,91.0,48.0,9.0,82.0,195.0
78,COL,NL,alstoga01,152000,COL,NL,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,HOU,AL,altuvjo01,2500000,HOU,AL,668.0,2721.0,341.0,830.0,162.0,14.0,36.0,226.0,169.0,49.0,146.0,308.0,20.0,24.0,17.0,24.0,74.0
80,DET,AL,alvarga01,170000,DET,AL,92.0,266.0,22.0,59.0,15.0,0.0,7.0,33.0,1.0,4.0,24.0,76.0,1.0,2.0,0.0,2.0,2.0
81,MIA,NL,alvarhe01,4000000,MIA,NL,92.0,94.0,5.0,22.0,4.0,0.0,1.0,9.0,0.0,0.0,1.0,34.0,0.0,0.0,12.0,2.0,0.0
82,ATL,NL,alvarjo01,125000,ATL,NL,99.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0
83,LAA,AL,alvarjo02,509500,LAA,AL,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84,PIT,NL,alvarpe01,5750000,PIT,NL,742.0,2500.0,300.0,590.0,108.0,6.0,131.0,401.0,14.0,3.0,259.0,809.0,30.0,11.0,1.0,13.0,63.0
85,OAK,AL,alvarrj01,507500,OAK,AL,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,MON,NL,alvarta01,109000,MON,NL,19.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0
87,TBA,AL,alvarwi01,9000000,CHA,AL,355.0,95.0,6.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,33.0,0.0,0.0,5.0,0.0,4.0
88,SEA,AL,amarari01,550000,SEA,AL,727.0,1788.0,305.0,493.0,82.0,10.0,11.0,159.0,112.0,39.0,176.0,277.0,1.0,16.0,29.0,13.0,37.0
89,SDN,NL,amarial01,1150000,SDN,NL,541.0,1442.0,140.0,328.0,55.0,16.0,18.0,139.0,29.0,8.0,94.0,231.0,11.0,4.0,21.0,14.0,22.0
90,PHI,NL,amaroru02,275000,PHI,NL,485.0,927.0,99.0,218.0,43.0,9.0,16.0,100.0,15.0,10.0,88.0,128.0,2.0,16.0,11.0,8.0,22.0
91,HOU,AL,ambrihe01,493400,HOU,AL,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,FLO,NL,amezaal01,1300000,FLO,NL,584.0,1408.0,173.0,348.0,47.0,19.0,12.0,110.0,49.0,26.0,112.0,223.0,7.0,14.0,28.0,8.0,21.0
93,MIN,AL,anderal02,785000,MIN,AL,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
94,BAL,AL,anderbr01,7200000,BAL,AL,1834.0,6499.0,1062.0,1661.0,338.0,67.0,210.0,761.0,315.0,100.0,960.0,1190.0,59.0,154.0,74.0,50.0,65.0
95,ARI,NL,anderbr02,5375000,ARI,AL,308.0,255.0,15.0,35.0,5.0,3.0,1.0,10.0,2.0,0.0,7.0,57.0,0.0,1.0,22.0,3.0,5.0
96,CHA,AL,anderbr03,440000,CHA,AL,355.0,799.0,108.0,181.0,47.0,1.0,22.0,80.0,13.0,14.0,65.0,208.0,2.0,8.0,7.0,4.0,15.0
97,LAN,NL,anderbr04,10000000,OAK,AL,123.0,65.0,1.0,6.0,3.0,0.0,0.0,4.0,0.0,0.0,5.0,41.0,0.0,0.0,10.0,0.0,2.0
98,ARI,NL,anderch01,512500,ARI,NL,50.0,82.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,37.0,0.0,1.0,14.0,0.0,2.0
99,SFN,NL,anderda02,600000,LAN,NL,873.0,2026.0,244.0,490.0,73.0,12.0,19.0,143.0,49.0,30.0,206.0,331.0,17.0,5.0,37.0,13.0,49.0
100,LAA,AL,anderga01,12600000,ANA,AL,2228.0,8640.0,1084.0,2529.0,522.0,36.0,287.0,1365.0,80.0,47.0,429.0,1224.0,104.0,8.0,13.0,87.0,197.0
101,NYA,AL,anderja01,300000,NYA,AL,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
