,salary,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp
salary,1.0,0.46388122136794174,0.4256748396655011,0.4502732412063077,0.429910193569242,0.4596536161216837,0.2909338063948932,0.48627980051159053,0.4637254003414828,0.25866593100537866,0.24902846061499737,0.4216323090327744,0.48155743219148256,0.37661748799795447,0.4254553806952327,0.2427114701000414,0.4050597701896844,0.41293308545982177
g,0.46388122136794174,1.0,0.9546478128924873,0.9363286973821985,0.9478179143976415,0.9334922084647924,0.8055918545606864,0.8167958665995821,0.9172817122954539,0.6430364435736476,0.7716883013987483,0.89537050059276,0.8898124505278917,0.7606794274801885,0.7263344471716154,0.48505687800182645,0.9165390174514189,0.9095982286908987
ab,0.4256748396655011,0.9546478128924873,1.0,0.9855512317970775,0.996677368385302,0.9838473787010392,0.8487816588106498,0.8622457461836417,0.9639642629770806,0.6834654385378094,0.8089562008119595,0.9298403311138315,0.9294506169203386,0.7899706182460415,0.7687507126598907,0.4602011859607086,0.9599253298289822,0.9555660312244456
r,0.4502732412063077,0.9363286973821985,0.9855512317970775,1.0,0.988644969085311,0.9791720132075301,0.8483605996287694,0.8895931353325509,0.9671792783764338,0.7201601038385269,0.8198447671546086,0.9553133893927906,0.927419692337516,0.8094018140890892,0.7807283882584426,0.40644609669398596,0.9490531417213419,0.9289583681354219
h,0.429910193569242,0.9478179143976415,0.996677368385302,0.988644969085311,1.0,0.987295285309225,0.8512708862144774,0.8610341768431756,0.9654072423428656,0.6870613433667333,0.8079994209329534,0.9287629858167155,0.9132316089277607,0.8025260737287371,0.7658634728783887,0.43333016094080246,0.9603807546379127,0.9574710399502214
double,0.4596536161216837,0.9334922084647924,0.9838473787010392,0.9791720132075301,0.987295285309225,1.0,0.8093221139419288,0.8831736334204511,0.9723856909770101,0.6335983927439628,0.7558561373560017,0.9251376099667479,0.9198033621960898,0.8055254424956214,0.7841999720240233,0.37880991794966784,0.9620302356578349,0.9544548691287277
triple,0.2909338063948932,0.8055918545606864,0.8487816588106498,0.8483605996287694,0.8512708862144774,0.8093221139419288,1.0,0.605772657976498,0.7472888012679754,0.8087846829514979,0.8791424065408167,0.7529628341305293,0.7457378340240735,0.6090071889593308,0.5833886709226336,0.4874476444751886,0.7629040008617725,0.7268609999531274
hr,0.48627980051159053,0.8167958665995821,0.8622457461836417,0.8895931353325509,0.8610341768431756,0.8831736334204511,0.605772657976498,1.0,0.9560133073107213,0.457420290959787,0.5632464472142407,0.8840414845350072,0.9095575620997365,0.8342328333329369,0.7392037906616519,0.14818731474626495,0.8842356699326054,0.852995355395794
rbi,0.4637254003414828,0.9172817122954539,0.9639642629770806,0.9671792783764338,0.9654072423428656,0.9723856909770101,0.7472888012679754,0.9560133073107213,1.0,0.5678420800512748,0.6960218962828113,0.9350127345378915,0.9362203701546313,0.8509598238365231,0.770291708200322,0.30218050254813456,0.9685021977013376,0.9503036530217577
sb,0.25866593100537866,0.6430364435736476,0.6834654385378094,0.7201601038385269,0.6870613433667333,0.6335983927439628,0.8087846829514979,0.457420290959787,0.5678420800512748,1.0,0.924677158523952,0.637009847072234,0.597267918150283,0.44892447320454504,0.49449076767519007,0.43619128474179686,0.5779399982031087,0.5364270407573528
cs,0.24902846061499737,0.7716883013987483,0.8089562008119595,0.8198447671546086,0.8079994209329534,0.7558561373560017,0.8791424065408167,0.5632464472142407,0.6960218962828113,0.924677158523952,1.0,0.742552819038062,0.7099179289873739,0.5559715370139929,0.5787862459817531,0.5061245096440224,0.7117542599587324,0.6842110712504834
bb,0.4216323090327744,0.89537050059276,0.9298403311138315,0.9553133893927906,0.9287629858167155,0.9251376099667479,0.7529628341305293,0.8840414845350072,0.9350127345378915,0.637009847072234,0.742552819038062,1.0,0.900332663708825,0.8433976209381109,0.7299125008937644,0.355218858338824,0.9134990124031833,0.876514932545576
so,0.48155743219148256,0.8898124505278917,0.9294506169203386,0.927419692337516,0.9132316089277607,0.9198033621960898,0.7457378340240735,0.9095575620997365,0.9362203701546313,0.597267918150283,0.7099179289873739,0.900332663708825,1.0,0.7396642207708106,0.7657720934377602,0.36932174211643765,0.8853658014623392,0.8752519474645196
ibb,0.37661748799795447,0.7606794274801885,0.7899706182460415,0.8094018140890892,0.8025260737287371,0.8055254424956214,0.6090071889593308,0.8342328333329369,0.8509598238365231,0.44892447320454504,0.5559715370139929,0.8433976209381109,0.7396642207708106,1.0,0.5839934592130375,0.1855111209116334,0.8092884430984302,0.7800387382656133
hbp,0.4254553806952327,0.7263344471716154,0.7687507126598907,0.7807283882584426,0.7658634728783887,0.7841999720240233,0.5833886709226336,0.7392037906616519,0.770291708200322,0.49449076767519007,0.5787862459817531,0.7299125008937644,0.7657720934377602,0.5839934592130375,1.0,0.28343751737255,0.7371997605904523,0.7379308529914398
sh,0.2427114701000414,0.48505687800182645,0.4602011859607086,0.40644609669398596,0.43333016094080246,0.37880991794966784,0.4874476444751886,0.14818731474626495,0.30218050254813456,0.43619128474179686,0.5061245096440224,0.355218858338824,0.36932174211643765,0.1855111209116334,0.28343751737255,1.0,0.3591265671257791,0.37411341177286256
sf,0.4050597701896844,0.9165390174514189,0.9599253298289822,0.9490531417213419,0.9603807546379127,0.9620302356578349,0.7629040008617725,0.8842356699326054,0.9685021977013376,0.5779399982031087,0.7117542599587324,0.9134990124031833,0.8853658014623392,0.8092884430984302,0.7371997605904523,0.3591265671257791,1.0,0.9422003216674264
g_idp,0.41293308545982177,0.9095982286908987,0.9555660312244456,0.9289583681354219,0.9574710399502214,0.9544548691287277,0.7268609999531274,0.852995355395794,0.9503036530217577,0.5364270407573528,0.6842110712504834,0.876514932545576,0.8752519474645196,0.7800387382656133,0.7379308529914398,0.37411341177286256,0.9422003216674264,1.0
