,team_id_salary,league_id_salary,player_id,salary,team_id,league_id,pos,g,gs,inn_outs,po,a,e,dp,pb,wp,sb,cs,zr
0,SEA,AL,aardsda01,4500000,SEA,AL,P,331.0,0.0,921.0,11.0,29.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
1,BAL,AL,aasedo01,675000,CAL,AL,P,448.0,91.0,3328.0,67.0,135.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0
2,CIN,NL,abadan01,327000,BOS,AL,1B,10.0,0.0,138.0,37.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
3,OAK,AL,abadfe01,1087500,HOU,NL,P,258.0,0.0,540.0,7.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,FLO,NL,abbotje01,300000,CHA,AL,LF,389.0,164.0,5762.0,471.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
5,NYA,AL,abbotji01,2775000,CAL,AL,P,263.0,254.0,5022.0,72.0,300.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0
6,OAK,AL,abbotku01,1000000,COL,NL,SS,666.0,495.0,14198.0,1007.0,1263.0,81.0,275.0,0.0,0.0,0.0,0.0,0.0
7,PHI,NL,abbotky01,150000,CAL,AL,P,57.0,22.0,556.0,6.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,SEA,AL,abbotpa01,3425000,SEA,AL,P,162.0,26.0,2162.0,61.0,76.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0
9,FLO,NL,abercre01,327000,FLO,NL,CF,282.0,0.0,2625.0,272.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
10,TBA,AL,abernbr01,300000,MIN,AL,2B,233.0,0.0,5781.0,445.0,590.0,22.0,154.0,0.0,0.0,0.0,0.0,0.0
11,CHA,AL,abnersh01,297500,SDN,NL,CF,683.0,398.0,11958.0,1133.0,19.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0
12,NYA,AL,abreubo01,16000000,PHI,NL,OF,4296.0,668.0,63846.0,4616.0,164.0,88.0,25.0,0.0,0.0,0.0,0.0,0.0
13,CHA,AL,abreujo02,8666000,CHA,AL,1B,224.0,0.0,2871.0,1922.0,129.0,17.0,205.0,0.0,0.0,0.0,0.0,0.0
14,SFN,NL,abreuto01,745000,LAN,NL,2B,168.0,0.0,3375.0,164.0,327.0,19.0,66.0,0.0,0.0,0.0,0.0,0.0
15,TOR,AL,accarje01,1080000,TOR,AL,P,262.0,0.0,855.0,13.0,35.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
16,BOS,AL,aceveal01,2650000,NYA,AL,P,204.0,0.0,1140.0,24.0,38.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0
17,CIN,NL,acevejo01,340000,CIN,NL,P,104.0,0.0,1107.0,19.0,39.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
