,salary,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,g_idp
salary,1.0,0.5779425775796577,0.5244892069537584,0.4089382715818187,0.5405372806771459,0.18989915146312913,0.2799412518425347,0.22431882608669748,0.5525012684479568,0.5384336410310246,0.5412893162124836,0.5697976841032737,0.5103142496313186,0.6428466159608488,0.41530540074167877,0.29657997637306144,0.3069430367021019,0.49139799198175294,0.599448593532188,0.24293735256671403,0.5498317065670326,0.172448696841529,0.5336640820714736,0.715428257835623,0.702478761349387,0.3620846298915649
w,0.5779425775796577,1.0,0.9581749359039503,0.6203258590841392,0.9459582939805602,0.7852803800878825,0.8250545455015036,0.13195704958138565,0.9896871263203536,0.979104416788663,0.9661916775301339,0.9433052041654013,0.9418945332428668,0.9633239464855905,0.7600140172513042,0.5684871404837885,0.741830209050596,0.8443151346113931,0.842331400901598,0.6996610671574468,0.9876372314952061,0.14822421888158904,0.9672887066245632,0.4985945995554055,0.4861143827519249,0.13365746917122828
l,0.5244892069537584,0.9581749359039503,1.0,0.6508393862996907,0.9330059785407444,0.7496349763732703,0.7703272818926172,0.16541795510964738,0.9821710575275808,0.9844904572229539,0.9846757425068752,0.9560413636032278,0.9575703648160753,0.9311313032884752,0.8092315046113546,0.6289613585780924,0.7774858892132099,0.862369042173416,0.8468763432330713,0.7032808461398313,0.9847403743018833,0.1920217390955032,0.986151624268635,0.4936670326105246,0.48827326441516544,0.11845450409113811
g,0.4089382715818187,0.6203258590841392,0.6508393862996907,1.0,0.39574784627017534,0.3459330810209256,0.3492235207842727,0.5914925971194324,0.6448957098369374,0.6280753078495956,0.6174053521773571,0.595730311752845,0.6633652423212945,0.6592755909045301,0.8306378977241444,0.6557467303085911,0.8206377137442916,0.6298650151764883,0.5820676381518467,0.47266156160547756,0.6461472168119756,0.7594306314380656,0.6196902471637306,0.3530622434445706,0.34944374093995645,0.02698696228930409
gs,0.5405372806771459,0.9459582939805602,0.9330059785407444,0.39574784627017534,1.0,0.7804519300207521,0.8250170257232349,-0.07405237012600945,0.9507015525549161,0.9540975242559719,0.9539099877696681,0.9347356634970072,0.9002840096358853,0.9012849522443919,0.6475977295823004,0.49341819938846043,0.5870621426904122,0.7938268330172974,0.8169514563940051,0.6627281698972896,0.951141817488459,-0.11274735336220924,0.9536293264215568,0.5073337668708265,0.5009104334893192,0.15972530197228985
cg,0.18989915146312913,0.7852803800878825,0.7496349763732703,0.3459330810209256,0.7804519300207521,1.0,0.953128439128537,-0.022322949358152756,0.7916554373060547,0.7691569627835608,0.737863473383424,0.6931693809290098,0.743471288161384,0.7321436457653074,0.5026925732454177,0.349139530546034,0.5322651835021196,0.6845338075307132,0.5595197983722334,0.6365741732496478,0.7851143820013262,-0.044036608129563184,0.7459953389366897,0.08384839822315496,0.06710634579265606,-0.026772836148824305
sho,0.2799412518425347,0.8250545455015036,0.7703272818926172,0.3492235207842727,0.8250170257232349,0.953128439128537,1.0,-0.03877279512861429,0.8221981478411369,0.7969064415316837,0.7649646383157926,0.7194512252937021,0.7673243341607362,0.779906396571442,0.5159322131144998,0.35810559482329957,0.5432285582011664,0.688702548066389,0.6077854220979335,0.6371868893783973,0.8148756493164235,-0.06738603145658224,0.7715270523564771,0.16785282327219594,0.1459498484938199,0.015386134725626605
sv,0.22431882608669748,0.13195704958138565,0.16541795510964738,0.5914925971194324,-0.07405237012600945,-0.022322949358152756,-0.03877279512861429,1.0,0.13949654039768225,0.11061764983945223,0.09026687666319956,0.08939804171519466,0.15305626022103525,0.1967253629947954,0.3036834434255211,0.19760927919686336,0.3862957029831008,0.1713392805323597,0.09976987019722501,0.08969144566558192,0.13584199224058557,0.925735885106562,0.09183310836699236,0.03673755978847886,0.019440526381295165,-0.037593644527124694
ipouts,0.5525012684479568,0.9896871263203536,0.9821710575275808,0.6448957098369374,0.9507015525549161,0.7916554373060547,0.8221981478411369,0.13949654039768225,1.0,0.9941157682357514,0.9854509576132443,0.9597754311720887,0.9602468142749044,0.9612190856473676,0.79698964054332,0.6065019920624902,0.767408259811566,0.8633916663382223,0.8528168122576435,0.7145213184329089,0.9996264487734088,0.16462846659695995,0.9869646059767246,0.49219499054535976,0.48358160957315927,0.12266302334740506
h,0.5384336410310246,0.979104416788663,0.9844904572229539,0.6280753078495956,0.9540975242559719,0.7691569627835608,0.7969064415316837,0.11061764983945223,0.9941157682357514,1.0,0.9934370205944038,0.9668181321575102,0.9469901780940604,0.935312764088169,0.8031819097519833,0.619322083532568,0.7616779739289496,0.8455913843471572,0.849758932101261,0.6999855185421779,0.9955441650829889,0.139024257322999,0.9945043459882272,0.5054782272895895,0.5011995496719722,0.11593995008854864
