,player_id,team_id_salary,league_id_salary,salary,team_id,league_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,w,l,gs,cg,sho,sv,ipouts,er,baopp,era,wp,bk,bfp,gf,pos,inn_outs,po,a,e,dp,pb,zr,debut,final_game,Days Played
0,aardsda01,SEA,AL,13500000,SEA,AL,993.0,4.0,169.0,296.0,0.0,0.0,41.0,0.0,0.0,0.0,183.0,342.0,22.0,16.0,18.0,11.0,0.0,16.0,18.0,0.0,0.0,0.0,69.0,1011.0,160.0,2.314,46.75,12.0,1.0,1475.0,141.0,P,921.0,11.0,29.0,3.0,2.0,0.0,0.0,2004-04-06,2015-08-23,4156.0
1,aasedo01,BAL,AL,2025000,CAL,AL,1344.0,5.0,503.0,1085.0,0.0,0.0,89.0,0.0,0.0,0.0,457.0,644.0,45.0,7.0,0.0,0.0,0.0,66.0,60.0,182.0,22.0,5.0,82.0,3328.0,468.0,3.2100000000000004,45.41,21.0,3.0,4730.0,234.0,P,3328.0,67.0,135.0,13.0,10.0,0.0,0.0,1977-07-26,1990-10-03,4817.0
2,abadan01,CIN,NL,981000,BOS,AL,25.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1B,138.0,37.0,1.0,1.0,3.0,0.0,0.0,2001-09-10,2006-04-13,1676.0
3,abadfe01,OAK,AL,3262500,HOU,NL,774.0,8.0,99.0,221.0,0.0,0.0,32.0,0.0,0.0,0.0,77.0,197.0,7.0,10.0,7.0,9.0,7.0,5.0,20.0,6.0,0.0,0.0,0.0,682.0,94.0,1.5340000000000003,24.32,8.0,0.0,970.0,66.0,P,540.0,7.0,27.0,2.0,0.0,0.0,0.0,2010-07-28,2015-10-03,1893.0
4,abbotje01,FLO,NL,900000,CHA,AL,622.0,596.0,82.0,157.0,33.0,2.0,18.0,83.0,6.0,5.0,38.0,91.0,2.0,3.0,5.0,7.0,12.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LF,5762.0,471.0,2.0,13.0,0.0,0.0,0.0,1997-06-10,2001-09-29,1572.0
5,abbotji01,NYA,AL,8325000,CAL,AL,789.0,21.0,880.0,1781.0,0.0,0.0,154.0,3.0,0.0,0.0,620.0,898.0,30.0,32.0,3.0,0.0,1.0,87.0,108.0,508.0,31.0,6.0,0.0,5022.0,791.0,2.37,49.459999999999994,53.0,11.0,7211.0,5.0,P,5022.0,72.0,300.0,9.0,16.0,0.0,0.0,1989-04-08,1999-07-21,3756.0
6,abbotku01,OAK,AL,3000000,COL,NL,1368.0,2044.0,273.0,523.0,109.0,23.0,62.0,242.0,22.0,11.0,133.0,571.0,11.0,17.0,21.0,12.0,37.0,0.0,0.0,495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SS,14198.0,1007.0,1263.0,81.0,275.0,0.0,0.0,1993-09-07,2001-04-13,2775.0
7,abbotky01,PHI,NL,450000,CAL,AL,171.0,31.0,114.0,210.0,1.0,0.0,26.0,2.0,0.0,0.0,80.0,143.0,0.0,2.0,6.0,0.0,0.0,4.0,17.0,44.0,0.0,0.0,0.0,556.0,107.0,1.2200000000000002,33.77,13.0,3.0,815.0,4.0,P,556.0,6.0,25.0,1.0,0.0,0.0,0.0,1991-09-10,1996-08-24,1810.0
8,abbotpa01,SEA,AL,10275000,SEA,AL,486.0,20.0,423.0,687.0,1.0,0.0,101.0,2.0,0.0,0.0,393.0,502.0,17.0,21.0,13.0,12.0,0.0,43.0,37.0,138.0,1.0,0.0,0.0,2162.0,394.0,2.677,66.14,37.0,0.0,3187.0,17.0,P,2162.0,61.0,76.0,6.0,8.0,0.0,0.0,1990-08-21,2004-08-07,5100.0
9,abercre01,FLO,NL,981000,FLO,NL,462.0,386.0,65.0,86.0,20.0,2.0,9.0,34.0,18.0,8.0,21.0,123.0,2.0,7.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CF,2625.0,272.0,7.0,6.0,2.0,0.0,0.0,2006-04-04,2008-09-28,908.0
10,abernbr01,TBA,AL,900000,MIN,AL,465.0,868.0,97.0,212.0,36.0,5.0,8.0,79.0,21.0,7.0,60.0,93.0,1.0,7.0,16.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2B,5781.0,445.0,590.0,22.0,154.0,0.0,0.0,2001-06-25,2005-09-29,1557.0
11,abnersh01,CHA,AL,892500,SDN,NL,1075.0,840.0,89.0,191.0,39.0,4.0,11.0,71.0,6.0,8.0,43.0,153.0,10.0,7.0,5.0,7.0,14.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CF,11958.0,1133.0,19.0,8.0,5.0,0.0,0.0,1987-09-08,1992-10-03,1852.0
12,abreubo01,NYA,AL,48000000,PHI,NL,6721.0,8480.0,1453.0,2470.0,574.0,59.0,288.0,1363.0,400.0,128.0,1476.0,1840.0,115.0,33.0,7.0,85.0,165.0,0.0,0.0,668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OF,63846.0,4616.0,164.0,88.0,25.0,0.0,0.0,1996-09-01,2014-09-28,6601.0
13,abreujo02,CHA,AL,25998000,CHA,AL,523.0,1169.0,168.0,354.0,69.0,5.0,66.0,208.0,3.0,1.0,90.0,271.0,26.0,26.0,0.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1B,2871.0,1922.0,129.0,17.0,205.0,0.0,0.0,2014-03-31,2015-10-03,551.0
14,abreuto01,SFN,NL,2235000,LAN,NL,392.0,579.0,61.0,147.0,39.0,6.0,6.0,60.0,2.0,4.0,22.0,116.0,2.0,5.0,1.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2B,3375.0,164.0,327.0,19.0,66.0,0.0,0.0,2007-05-22,2014-07-28,2624.0
15,accarje01,TOR,AL,3240000,TOR,AL,786.0,7.0,143.0,289.0,0.0,0.0,24.0,0.0,0.0,0.0,111.0,206.0,16.0,9.0,5.0,13.0,0.0,10.0,20.0,0.0,0.0,0.0,38.0,854.0,136.0,3.0039999999999996,53.49,10.0,2.0,1222.0,115.0,P,855.0,13.0,35.0,1.0,5.0,0.0,0.0,2005-05-04,2012-09-27,2703.0
16,aceveal01,BOS,AL,7950000,NYA,AL,612.0,2.0,172.0,333.0,0.0,0.0,48.0,0.0,0.0,0.0,129.0,283.0,6.0,28.0,6.0,13.0,1.0,31.0,16.0,15.0,0.0,0.0,29.0,1141.0,162.0,1.689,28.29,5.0,6.0,1599.0,91.0,P,1140.0,24.0,38.0,6.0,5.0,0.0,0.0,2008-08-31,2014-06-02,2101.0
17,acevejo01,CIN,NL,1020000,CIN,NL,312.0,101.0,248.0,428.0,2.0,0.0,71.0,4.0,0.0,0.0,118.0,314.0,14.0,13.0,26.0,18.0,2.0,18.0,25.0,59.0,1.0,0.0,1.0,1105.0,235.0,1.36,27.75,9.0,2.0,1628.0,11.0,P,1107.0,19.0,39.0,0.0,3.0,0.0,0.0,2001-06-19,2005-09-29,1563.0
18,aceveju01,NYA,AL,2700000,COL,NL,1101.0,65.0,320.0,603.0,2.0,0.0,72.0,0.0,0.0,0.0,229.0,383.0,34.0,28.0,17.0,12.0,2.0,28.0,40.0,68.0,0.0,0.0,53.0,1710.0,274.0,2.283,45.08,20.0,4.0,2488.0,165.0,P,1713.0,42.0,68.0,8.0,1.0,0.0,0.0,1995-04-30,2003-08-05,3019.0
19,ackerji01,TOR,AL,2100000,TOR,AL,1401.0,54.0,449.0,927.0,1.0,0.0,82.0,1.0,0.0,0.0,331.0,514.0,40.0,32.0,0.0,0.0,1.0,33.0,49.0,64.0,0.0,0.0,30.0,2713.0,399.0,3.19,47.52,31.0,2.0,3868.0,159.0,P,2713.0,73.0,161.0,2.0,11.0,0.0,0.0,1983-04-07,1992-06-14,3356.0
20,ackledu01,SEA,AL,8100000,SEA,AL,1478.0,2064.0,255.0,503.0,94.0,18.0,46.0,212.0,31.0,12.0,186.0,410.0,10.0,5.0,11.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2B,12435.0,1300.0,801.0,20.0,184.0,0.0,0.0,2011-06-17,2015-10-04,1570.0
21,acostma01,NYN,NL,2625000,ATL,NL,699.0,6.0,122.0,234.0,0.0,0.0,30.0,0.0,0.0,0.0,118.0,223.0,10.0,8.0,9.0,5.0,0.0,13.0,13.0,0.0,0.0,0.0,9.0,744.0,110.0,1.4589999999999996,23.05,14.0,0.0,1070.0,78.0,P,744.0,19.0,37.0,4.0,6.0,0.0,0.0,2007-08-12,2012-10-03,1879.0
22,acrema01,OAK,AL,495000,OAK,AL,342.0,0.0,75.0,135.0,0.0,0.0,16.0,0.0,0.0,0.0,68.0,98.0,9.0,5.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,2.0,381.0,73.0,1.04,20.980000000000004,3.0,1.0,582.0,32.0,P,381.0,5.0,9.0,1.0,0.0,0.0,0.0,1994-05-13,1997-05-10,1093.0
23,adamsau01,CLE,AL,1523100,CLE,AL,102.0,1.0,22.0,46.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,27.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,121.0,21.0,0.5860000000000001,12.78,1.0,0.0,179.0,10.0,P,21.0,1.0,6.0,0.0,0.0,0.0,0.0,2014-07-12,2015-09-30,445.0
24,adamsda02,NYA,AL,1620000,NYA,AL,87.0,140.0,10.0,27.0,5.0,1.0,2.0,13.0,0.0,0.0,9.0,43.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1B,1020.0,56.0,76.0,1.0,12.0,0.0,0.0,2013-05-15,2013-09-29,137.0
25,adamsjo02,ARI,NL,630000,ARI,NL,132.0,10.0,66.0,124.0,1.0,0.0,19.0,1.0,0.0,0.0,37.0,77.0,0.0,9.0,1.0,0.0,1.0,5.0,6.0,22.0,0.0,0.0,0.0,331.0,60.0,0.5800000000000001,19.12,0.0,1.0,484.0,4.0,P,331.0,9.0,15.0,3.0,0.0,0.0,0.0,1996-04-10,1998-04-26,746.0
26,adamsma01,SLN,NL,1602000,SLN,NL,614.0,1084.0,123.0,299.0,63.0,5.0,39.0,156.0,4.0,3.0,64.0,259.0,6.0,3.0,0.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1B,5868.0,2244.0,174.0,17.0,224.0,0.0,0.0,2012-05-20,2015-10-04,1232.0
27,adamsmi03,PHI,NL,21000000,SDN,NL,1226.0,2.0,122.0,316.0,0.0,0.0,33.0,0.0,0.0,0.0,126.0,409.0,12.0,6.0,13.0,6.0,2.0,21.0,20.0,0.0,0.0,0.0,4.0,1222.0,109.0,2.4569999999999994,35.989999999999995,7.0,0.0,1653.0,60.0,P,1221.0,32.0,43.0,1.0,4.0,0.0,0.0,2004-05-18,2014-09-18,3775.0
28,adamsru01,TOR,AL,1029000,TOR,AL,553.0,884.0,125.0,218.0,46.0,7.0,17.0,113.0,15.0,5.0,85.0,118.0,2.0,5.0,8.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SS,6078.0,331.0,573.0,46.0,113.0,0.0,0.0,2004-09-03,2009-06-30,1761.0
