,team_id_salary,league_id_salary,salary,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,w,l,gs,sv,ipouts,er,baopp,era,wp,bk,bfp,gf,inn_outs,po,a,e,dp,Days Played
0,SEA,AL,13500000,993.0,4.0,169.0,296.0,0.0,0.0,41.0,0.0,0.0,0.0,183.0,342.0,22.0,16.0,18.0,11.0,0.0,16.0,18.0,0.0,2.5,1011.0,160.0,2.314,46.75,12.0,1.0,1475.0,52.5,921.0,11.0,29.0,3.0,2.0,4156.0
1,BAL,AL,2025000,1344.0,5.0,503.0,1085.0,0.0,0.0,89.0,0.0,0.0,0.0,457.0,644.0,45.0,7.0,0.0,0.0,0.0,40.0,45.0,182.0,2.5,2387.5,370.0,3.2100000000000004,45.41,21.0,2.5,3431.25,52.5,3328.0,67.0,135.0,13.0,10.0,4817.0
2,CIN,NL,981000,25.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,37.0,1.0,1.0,3.0,1676.0
3,OAK,AL,3262500,774.0,8.0,99.0,221.0,0.0,0.0,32.0,0.0,0.0,0.0,77.0,197.0,7.0,10.0,7.0,9.0,7.0,5.0,20.0,6.0,0.0,682.0,94.0,1.5340000000000005,24.32,8.0,0.0,970.0,52.5,540.0,7.0,27.0,2.0,0.0,1893.0
4,FLO,NL,900000,622.0,596.0,82.0,157.0,33.0,2.0,18.0,83.0,6.0,5.0,38.0,91.0,2.0,3.0,5.0,7.0,12.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5762.0,471.0,2.0,13.0,0.0,1572.0
5,NYA,AL,8325000,789.0,21.0,880.0,1781.0,0.0,0.0,154.0,3.0,0.0,0.0,620.0,898.0,30.0,32.0,3.0,0.0,1.0,40.0,45.0,508.0,0.0,2387.5,370.0,2.37,49.46,40.0,2.5,3431.25,5.0,5022.0,72.0,300.0,9.0,16.0,3756.0
6,OAK,AL,3000000,1368.0,2044.0,273.0,523.0,109.0,17.5,62.0,242.0,22.0,11.0,133.0,571.0,11.0,17.0,21.0,12.0,37.0,0.0,0.0,495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14198.0,1007.0,534.25,64.5,87.0,2775.0
7,PHI,NL,450000,171.0,31.0,114.0,210.0,1.0,0.0,26.0,2.0,0.0,0.0,80.0,143.0,0.0,2.0,6.0,0.0,0.0,4.0,17.0,44.0,0.0,556.0,107.0,1.2200000000000002,33.77,13.0,2.5,815.0,4.0,556.0,6.0,25.0,1.0,0.0,1810.0
8,SEA,AL,10275000,486.0,20.0,423.0,687.0,1.0,0.0,101.0,2.0,0.0,0.0,393.0,502.0,17.0,21.0,13.0,12.0,0.0,40.0,37.0,138.0,0.0,2162.0,370.0,2.677,66.14,37.0,0.0,3187.0,17.0,2162.0,61.0,76.0,6.0,8.0,5100.0
9,FLO,NL,981000,462.0,386.0,65.0,86.0,20.0,2.0,9.0,34.0,18.0,8.0,21.0,123.0,2.0,7.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,272.0,7.0,6.0,2.0,908.0
